timestamp,planner,start_x,start_y,goal_x,goal_y,error,cost,path_len,path_distance_m,planning_time_s,expanded
2025-09-13T11:14:21.129021,gbfs,11,5,31,42,,45.28427124746188,38,4037.725446613718,0.013542667000365327,38
2025-09-13T11:14:21.151232,jps,11,5,31,42,,45.2842712474619,3,3962.9254953716863,0.022102087000348547,3
2025-09-13T11:14:21.166539,rrt_connect,11,5,31,42,,42.29005727253478,86,3907.007000270044,0.014681931000268378,87
2025-09-13T11:14:21.245781,rrt,11,5,31,42,,50.96366898947645,103,4579.786975584088,0.07848883799942996,422
2025-09-13T11:14:21.261065,gbfs,11,5,31,42,,45.28427124746188,38,4037.725446613718,0.014965201000450179,38
2025-09-13T11:14:21.277321,a_star,16,10,21,21,,13.071067811865477,12,1158.1819688908063,0.016098693999992975,45
2025-09-13T11:14:21.309915,dijkstra,16,10,21,21,,13.071067811865477,12,1158.1819688908063,0.0323926590008341,464
2025-09-13T11:14:21.324734,gbfs,16,10,21,21,,13.071067811865477,12,1159.6105294391325,0.014643495000200346,12
2025-09-13T11:14:21.346992,jps,16,10,21,21,,13.071067811865476,3,1152.799496720535,0.022138460999485687,3
2025-09-13T11:14:21.360343,rrt_connect,16,10,21,21,,12.821823167972958,27,1151.4710247916382,0.013040838999586413,28
2025-09-13T11:14:21.375653,rrt,16,10,21,21,,15.751459358599792,33,1402.207343216982,0.014938615000573918,61
2025-09-13T11:14:21.390743,gbfs,16,10,21,21,,13.071067811865477,12,1159.6105294391325,0.014924086000064563,12
